px1,py1,pz1,E1,Q1,px2,py2,pz2,E2,Q2
-9.7577665223,-35.8106927912,-13.8576383317,39.6189983406,-1.0,22.4858369675,-38.4329845007,91.9911726076,102.201243452,1.0
-9.7577665223,-35.8106927912,-13.8576383317,39.6189983406,-1.0,22.2403896653,-38.0125917582,90.9834532952,101.08210525,1.0
-9.76604072635,-35.8438850961,-13.8710812915,39.6557399393,-1.0,22.2403896653,-38.0125917582,90.9834532952,101.08210525,1.0
15.8254611709,20.7870573696,62.2168297629,67.4795676098,-1.0,34.6362233736,35.1857220194,-29.9932081205,57.7694270411,1.0
34.6560065006,35.2056781624,-30.0148447979,57.8046765701,1.0,15.8254611709,20.7870573696,62.2168297629,67.4795676098,-1.0
34.6560065006,35.2056781624,-30.0148447979,57.8046765701,1.0,15.8116881353,20.7661223793,62.1768464328,67.4330239303,-1.0
34.6362233736,35.1857220194,-29.9932081205,57.7694270411,1.0,15.8116881353,20.7661223793,62.1768464328,67.4330239303,-1.0
-21.1589497582,-20.2346626888,-41.8172717146,51.0474103784,-1.0,21.7275378092,11.3934906728,30.1332593426,38.8577149516,1.0
21.5104382023,11.2825277481,29.8326592033,38.4706784821,1.0,-21.1589497582,-20.2346626888,-41.8172717146,51.0474103784,-1.0
21.5104382023,11.2825277481,29.8326592033,38.4706784821,1.0,-21.2941765492,-20.3664286199,-42.0787210687,51.3698676279,-1.0
21.7275378092,11.3934906728,30.1332593426,38.8577149516,1.0,-21.2941765492,-20.3664286199,-42.0787210687,51.3698676279,-1.0
-25.5955017565,12.9512137343,58.2998332687,64.974959563,1.0,20.2463284616,-24.8090359231,-15.9314088564,35.7662275261,-1.0
20.2444564732,-24.8066914222,-15.9299163083,35.7628767647,-1.0,-25.5955017565,12.9512137343,58.2998332687,64.974959563,1.0
20.2444564732,-24.8066914222,-15.9299163083,35.7628767647,-1.0,-25.7059323325,13.0080597691,58.5444236489,65.2492550158,1.0
20.2463284616,-24.8090359231,-15.9314088564,35.7662275261,-1.0,-25.7059323325,13.0080597691,58.5444236489,65.2492550158,1.0
-23.5956807415,44.9663665842,5.00731050613,51.0275866139,1.0,0.0908890776713,-35.5544838288,18.80075515,40.2195119197,-1.0
